ilan_no;baslik;fiyat;konut_tipi;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;konum;url
119442-1881;Satılık Daire - Ankara / Keçiören / Şehit Kubilay Mah.;4749000;Satılık Daire;3 +                          1;150;3. Kat;8;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Realty Gate;15.02.2026;Ankara / Keçiören / Şehit Kubilay Mah.;https://www.hepsiemlak.com/ankara-kecioren-sehit-kubilay-satilik/daire/119442-1881
69365-7742;Satılık Daire - Ankara / Sincan / Mareşal Çakmak Mah.;3099000;Satılık Daire;3 +                          1;125;3. Kat;24;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Yıldırımlar Emlak;13.02.2026;Ankara / Sincan / Mareşal Çakmak Mah.;https://www.hepsiemlak.com/ankara-sincan-maresal-cakmak-satilik/daire/69365-7742
126490-2270;Satılık Daire - Ankara / Sincan / Pınarbaşı Mah.;4340000;Satılık Daire;5 +                          4;200;3. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Hakan Zengin Gayrimenkul;13.02.2026;Ankara / Sincan / Pınarbaşı Mah.;https://www.hepsiemlak.com/ankara-sincan-pinarbasi-satilik/daire/126490-2270
16354-29193;Satılık Daire - Ankara / Keçiören / Etlik Mah.;2950000;Satılık Daire;2 +                          1;120;1. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;6;Evet;Boş;Özkardeşler Emlak Gayrimenkul Danışmanlığı;13.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/16354-29193
142174-1035;Satılık Daire - Ankara / Yenimahalle / Çiğdemtepe Mah.;4249999;Satılık Daire;3 +                          1;130;2. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Egemen Gayrimenkul;12.02.2026;Ankara / Yenimahalle / Çiğdemtepe Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-cigdemtepe-satilik/daire/142174-1035
151291-237;Satılık Daire - Ankara / Keçiören / Atapark Mah.;6500000;Satılık Daire;4 +                          1;230;3. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;12.02.2026;Ankara / Keçiören / Atapark Mah.;https://www.hepsiemlak.com/ankara-kecioren-atapark-satilik/daire/151291-237
6788-23502;Satılık Daire - Ankara / Çankaya / İlkadım Mah.;6950000;Satılık Daire;3 +                          1;125;2. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Hazar Emlak;13.02.2026;Ankara / Çankaya / İlkadım Mah.;https://www.hepsiemlak.com/ankara-cankaya-ilkadim-satilik/daire/6788-23502
61688-5908;Satılık Daire - Ankara / Yenimahalle / Avcılar Mah.;6750000;Satılık Daire;4 +                          1;185;11. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;13;Evet;Boş;Cihan Emlak;12.02.2026;Ankara / Yenimahalle / Avcılar Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-avcilar-satilik/daire/61688-5908
120171-3830;Satılık Daire - Ankara / Sincan / Mareşal Çakmak Mah.;2699000;Satılık Daire;3 +                          1;120;3. Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Yoldaş Gayrimenkul;12.02.2026;Ankara / Sincan / Mareşal Çakmak Mah.;https://www.hepsiemlak.com/ankara-sincan-maresal-cakmak-satilik/daire/120171-3830
142373-367;Satılık Daire - Ankara / Mamak / Küçük Kayaş Mah.;2650000;Satılık Daire;2 +                          1;105;Yüksek Giriş;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Arifoğlu Gayrimenkul;12.02.2026;Ankara / Mamak / Küçük Kayaş Mah.;https://www.hepsiemlak.com/ankara-mamak-kucuk-kayas-satilik/daire/142373-367
67792-207;Satılık Daire - Ankara / Sincan / Akşemsettin Mah.;4680000;Satılık Daire;3 +                          1;245;3. Kat;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Angora Emlak;14.02.2026;Ankara / Sincan / Akşemsettin Mah.;https://www.hepsiemlak.com/ankara-sincan-aksemsettin-satilik/daire/67792-207
111267-1620;Satılık Daire - Ankara / Etimesgut / Atayurt Mah.;4990000;Satılık Daire;2 +                          1;95;Ara Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;Acef Gayrimenkul;12.02.2026;Ankara / Etimesgut / Atayurt Mah.;https://www.hepsiemlak.com/ankara-etimesgut-atayurt-satilik/daire/111267-1620
79918-1077;Satılık Daire - Ankara / Sincan / Selçuklu Mah.;1449000;Satılık Daire;2 +                          1;85;Bahçe Katı;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Ayaz Gayrimenkul;12.02.2026;Ankara / Sincan / Selçuklu Mah.;https://www.hepsiemlak.com/ankara-sincan-selcuklu-satilik/daire/79918-1077
66838-1317;Satılık Daire - Ankara / Keçiören / Tepebaşı Mah.;4930000;Satılık Daire;3 +                          1;125;2. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Doğan Emlak;12.02.2026;Ankara / Keçiören / Tepebaşı Mah.;https://www.hepsiemlak.com/ankara-kecioren-tepebasi-satilik/daire/66838-1317
4380-12349;Satılık Daire - Ankara / Çankaya / Ayrancı Mah.;6550000;Satılık Daire;2 +                          1;100;4. Kat;33;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Polat Emlak;15.02.2026;Ankara / Çankaya / Ayrancı Mah.;https://www.hepsiemlak.com/ankara-cankaya-ayranci-satilik/daire/4380-12349
137613-72;Satılık Daire - Ankara / Altındağ / Feridun Çelik Mah.;5199000;Satılık Daire;3 +                          1;135;5. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Erkılıç Gayrimenkul;12.02.2026;Ankara / Altındağ / Feridun Çelik Mah.;https://www.hepsiemlak.com/ankara-altindag-feridun-celik-satilik/daire/137613-72
27748-774;Satılık Daire - Ankara / Çankaya / Cevizlidere Mah.;9750000;Satılık Daire;3 +                          1;141;2. Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Evaloft Gayrimenkul;12.02.2026;Ankara / Çankaya / Cevizlidere Mah.;https://www.hepsiemlak.com/ankara-cankaya-cevizlidere-satilik/daire/27748-774
160563-366;Satılık Daire - Ankara / Mamak / Akşemsettin Mah.;6659000;Satılık Daire;3 +                          1;140;8. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Evin Burada Emlak Mamak;11.02.2026;Ankara / Mamak / Akşemsettin Mah.;https://www.hepsiemlak.com/ankara-mamak-aksemsettin-satilik/daire/160563-366
144496-1524;Satılık Daire - Ankara / Çankaya / Sancak Mah.;6490000;Satılık Daire;3 +                          1;160;2. Kat;22;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Valentia Gayrimenkul;13.02.2026;Ankara / Çankaya / Sancak Mah.;https://www.hepsiemlak.com/ankara-cankaya-sancak-satilik/daire/144496-1524
147585-87;Satılık Daire - Ankara / Sincan / Fevzi Çakmak Mah.;4799000;Satılık Daire;3 +                          1;150;2. Kat;4;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;X-ar Gayrimenkul;11.02.2026;Ankara / Sincan / Fevzi Çakmak Mah.;https://www.hepsiemlak.com/ankara-sincan-fevzi-cakmak-satilik/daire/147585-87
160954-211;Satılık Daire - Ankara / Gölbaşı / Kızılcaşar Mah.;5450000;Satılık Daire;2 +                          1;75;Bahçe Katı;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;North & West Gayrimenkul ( Taşpınar );11.02.2026;Ankara / Gölbaşı / Kızılcaşar Mah.;https://www.hepsiemlak.com/ankara-golbasi-kizilcasar-satilik/daire/160954-211
156760-505;Satılık Daire - Ankara / Pursaklar / Fatih Mah.;8750000;Satılık Daire;4 +                          1;180;11. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;12;Evet;Boş;Özdemir Emlak;11.02.2026;Ankara / Pursaklar / Fatih Mah.;https://www.hepsiemlak.com/ankara-pursaklar-fatih-satilik/daire/156760-505
151077-1179;Satılık Daire - Ankara / Sincan / Yeniçimşit Mah.;6949000;Satılık Daire;4 +                          1;180;2. Kat;8;Kombi (Doğalgaz);Kat Mülkiyeti;1;9;Evet;Boş;Elit Hayal Gayrimenkul;11.02.2026;Ankara / Sincan / Yeniçimşit Mah.;https://www.hepsiemlak.com/ankara-sincan-yenicimsit-satilik/daire/151077-1179
159276-59;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;10498000;Satılık Daire;4 +                          1;200;4. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;16;Evet;Boş;Dağ Gayrimenkul;11.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/159276-59
129504-1242;Satılık Daire - Ankara / Keçiören / Yayla Mah.;4750000;Satılık Daire;3 +                          1;135;3. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;İlhanlar Gayrimenkul;15.02.2026;Ankara / Keçiören / Yayla Mah.;https://www.hepsiemlak.com/ankara-kecioren-yayla-satilik/daire/129504-1242
130866-1559;Satılık Daire - Ankara / Yenimahalle / Serhat Mah.;5100000;Satılık Daire;3 +                          1;135;1. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;7;Evet;Boş;-;11.02.2026;Ankara / Yenimahalle / Serhat Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-serhat-satilik/daire/130866-1559
156180-400;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;5945000;Satılık Daire;2 +                          1;135;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Ulubey Gayrimenkul;11.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/156180-400
75812-2222;Satılık Daire - Ankara / Keçiören / Aşağı Eğlence Mah.;5100000;Satılık Daire;3 +                          1;125;2. Kat;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Kup10 Emlak Etlik;11.02.2026;Ankara / Keçiören / Aşağı Eğlence Mah.;https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-satilik/daire/75812-2222
165822-25;Satılık Daire - Ankara / Etimesgut / Yeşilova Mah.;6950000;Satılık Daire;2 +                          1;104;5. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;12;Evet;Boş;Dönmez Group Gayrimenkul;11.02.2026;Ankara / Etimesgut / Yeşilova Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yesilova-satilik/daire/165822-25
5235-10156;Satılık Daire - Ankara / Çankaya / Keklik Pınarı Mah.;6950000;Satılık Daire;3 +                          1;155;Yüksek Giriş;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Güven Gayrimenkul;16.02.2026;Ankara / Çankaya / Keklik Pınarı Mah.;https://www.hepsiemlak.com/ankara-cankaya-keklik-pinari-satilik/daire/5235-10156
25774-2192;Satılık Daire - Ankara / Çankaya / Güvenevler Mah.;7000000;Satılık Daire;2 +                          1;95;Bahçe Katı;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Bir Emlak Çankaya-hoşdere Temsilciliği;11.02.2026;Ankara / Çankaya / Güvenevler Mah.;https://www.hepsiemlak.com/ankara-cankaya-guvenevler-satilik/daire/25774-2192
58364-4403;Satılık Daire - Ankara / Keçiören / Aşağı Eğlence Mah.;4490000;Satılık Daire;2 +                          1;85;Yüksek Giriş;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;7;Evet;Boş;Marqa Gayrimenkul;12.02.2026;Ankara / Keçiören / Aşağı Eğlence Mah.;https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-satilik/daire/58364-4403
130361-1631;Satılık Daire - Ankara / Sincan / Malazgirt Mah.;4275000;Satılık Daire;3 +                          1;110;1. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Neva Gayrimenkul;11.02.2026;Ankara / Sincan / Malazgirt Mah.;https://www.hepsiemlak.com/ankara-sincan-malazgirt-satilik/daire/130361-1631
65431-15649;Satılık Daire - Ankara / Pursaklar / Yunus Emre Mah.;2740000;Satılık Daire;3 +                          1;115;Kot 1;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Özgül Emlak;13.02.2026;Ankara / Pursaklar / Yunus Emre Mah.;https://www.hepsiemlak.com/ankara-pursaklar-yunus-emre-satilik/daire/65431-15649
124438-1384;Satılık Daire - Ankara / Mamak / Tuzluçayır Mah.;2475000;Satılık Daire;2 +                          1;120;Kot 1;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Emlak 312;12.02.2026;Ankara / Mamak / Tuzluçayır Mah.;https://www.hepsiemlak.com/ankara-mamak-tuzlucayir-satilik/daire/124438-1384
114841-2583;Satılık Daire - Ankara / Sincan / Tandoğan Mah.;3199000;Satılık Daire;3 +                          1;120;2. Kat;13;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Emlak Küpü;10.02.2026;Ankara / Sincan / Tandoğan Mah.;https://www.hepsiemlak.com/ankara-sincan-tandogan-satilik/daire/114841-2583
10041-2394;Satılık Daire - Ankara / Mamak / Durali Alıç Mah.;4550000;Satılık Daire;3 +                          1;135;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;8;Evet;Boş;Coldwell Banker;15.02.2026;Ankara / Mamak / Durali Alıç Mah.;https://www.hepsiemlak.com/ankara-mamak-durali-alic-satilik/daire/10041-2394
108601-550;Satılık Daire - Ankara / Altındağ / Yıldıztepe Mah.;4350000;Satılık Daire;3 +                          1;145;Giriş Katı;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;11.02.2026;Ankara / Altındağ / Yıldıztepe Mah.;https://www.hepsiemlak.com/ankara-altindag-yildiztepe-satilik/daire/108601-550
134450-347;Satılık Daire - Ankara / Sincan / Mareşal Çakmak Mah.;3150000;Satılık Daire;3 +                          1;125;3. Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Aşuroğlu Emlak Ofisi;10.02.2026;Ankara / Sincan / Mareşal Çakmak Mah.;https://www.hepsiemlak.com/ankara-sincan-maresal-cakmak-satilik/daire/134450-347
6406-332;Satılık Daire - Ankara / Altındağ / Güneşevler Mah.;11400000;Satılık Daire;4 +                          1;195;6. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;11;Evet;Boş;Haskent Emlak;14.02.2026;Ankara / Altındağ / Güneşevler Mah.;https://www.hepsiemlak.com/ankara-altindag-gunesevler-satilik/daire/6406-332
129420-1625;Satılık Daire - Ankara / Çankaya / Mürsel Uluç Mah.;5550000;Satılık Daire;5 +                          1;200;3. Kat;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Century21 Royal;10.02.2026;Ankara / Çankaya / Mürsel Uluç Mah.;https://www.hepsiemlak.com/ankara-cankaya-mursel-uluc-satilik/daire/129420-1625
160730-371;Satılık Daire - Ankara / Mamak / Peyami Safa Mah.;4500000;Satılık Daire;2 +                          1;100;3. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Winnest Garimenkul;16.02.2026;Ankara / Mamak / Peyami Safa Mah.;https://www.hepsiemlak.com/ankara-mamak-peyami-safa-satilik/daire/160730-371
88368-4859;Satılık Daire - Ankara / Altındağ / Yıldıztepe Mah.;5750000;Satılık Daire;4 +                          1;145;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Pusula Emlak;10.02.2026;Ankara / Altındağ / Yıldıztepe Mah.;https://www.hepsiemlak.com/ankara-altindag-yildiztepe-satilik/daire/88368-4859
159428-298;Satılık Daire - Ankara / Mamak / Yeşilbayır Mah.;5000000;Satılık Daire;3 +                          1;150;11. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;13;Evet;Boş;Başkent Emlak;12.02.2026;Ankara / Mamak / Yeşilbayır Mah.;https://www.hepsiemlak.com/ankara-mamak-yesilbayir-satilik/daire/159428-298
132621-1732;Satılık Daire - Ankara / Etimesgut / Şehit Osman Avcı Mah.;9250000;Satılık Daire;3 +                          1;130;9. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;9;Evet;Boş;Remax Safe;15.02.2026;Ankara / Etimesgut / Şehit Osman Avcı Mah.;https://www.hepsiemlak.com/ankara-etimesgut-sehit-osman-avci-satilik/daire/132621-1732
163136-174;Satılık Daire - Ankara / Keçiören / Hisar Mah.;3500000;Satılık Daire;3 +                          1;120;Kot 1;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Yasa Gayrimenkul;15.02.2026;Ankara / Keçiören / Hisar Mah.;https://www.hepsiemlak.com/ankara-kecioren-hisar-satilik/daire/163136-174
104775-5781;Satılık Daire - Ankara / Mamak / Abidinpaşa Mah.;3450000;Satılık Daire;3 +                          1;115;3. Kat;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Ery Gayrimenkul (eray Tuncer);14.02.2026;Ankara / Mamak / Abidinpaşa Mah.;https://www.hepsiemlak.com/ankara-mamak-abidinpasa-satilik/daire/104775-5781
2533-2759;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;15000000;Satılık Daire;2 +                          1;105;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cansu Emlak;10.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/2533-2759
161467-81;Satılık Daire - Ankara / Sincan / İstasyon Mah.;3475000;Satılık Daire;3 +                          1;130;4. Kat;24;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Öz Gayrimenkul;13.02.2026;Ankara / Sincan / İstasyon Mah.;https://www.hepsiemlak.com/ankara-sincan-istasyon-satilik/daire/161467-81
10345-6939;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;4300000;Satılık Daire;3 +                          1;135;Kot 2;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Efe Emlak Yatırım;14.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/10345-6939
141761-2301;Satılık Villa - Ankara / Yenimahalle / Karacakaya Mah.;22580000;Satılık Villa;4 +                          1;510;;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Remax Note;10.02.2026;Ankara / Yenimahalle / Karacakaya Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-karacakaya-satilik/villa/141761-2301
97141-12363;Satılık Daire - Ankara / Yenimahalle / Susuz Mah.;8490000;Satılık Daire;4 +                          1;180;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;14;Evet;Boş;Hisar Premıum Yatırım;13.02.2026;Ankara / Yenimahalle / Susuz Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-susuz-satilik/daire/97141-12363
139814-1377;Satılık Daire - Ankara / Keçiören / Şefkat Mah.;11600000;Satılık Daire;4 +                          1;154;6. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;Turyap Ankara Keçiören Temsilciliği;11.02.2026;Ankara / Keçiören / Şefkat Mah.;https://www.hepsiemlak.com/ankara-kecioren-sefkat-satilik/daire/139814-1377
149129-362;Satılık Daire - Ankara / Sincan / Mareşal Çakmak Mah.;3499000;Satılık Daire;3 +                          1;130;1. Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Fsn Emlak;13.02.2026;Ankara / Sincan / Mareşal Çakmak Mah.;https://www.hepsiemlak.com/ankara-sincan-maresal-cakmak-satilik/daire/149129-362
130404-1894;Satılık Daire - Ankara / Keçiören / Etlik Mah.;8450000;Satılık Daire;4 +                          1;210;14. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Kent Emlak;10.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/130404-1894
102398-824;Satılık Daire - Ankara / Sincan / 29 Ekim Mah.;4749000;Satılık Daire;3 +                          1;125;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Demiröz Gayrımenkul;12.02.2026;Ankara / Sincan / 29 Ekim Mah.;https://www.hepsiemlak.com/ankara-sincan-29-ekim-satilik/daire/102398-824
66658-1612;Satılık Daire - Ankara / Sincan / Ulubatlı Hasan Mah.;3150000;Satılık Daire;3 +                          1;118;3. Kat;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;10.02.2026;Ankara / Sincan / Ulubatlı Hasan Mah.;https://www.hepsiemlak.com/ankara-sincan-ulubatli-hasan-satilik/daire/66658-1612
132036-1425;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;11390000;Satılık Daire;4 +                          1;220;14. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Metropol Gayrimenkul;12.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/132036-1425
119539-718;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;4550000;Satılık Daire;2 +                          1;120;2. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Nera Emlak;16.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/119539-718
30810-273;Satılık Kooperatif - Ankara / Gölbaşı / Yağlıpınar Mah.;2975000;Satılık Kooperatif;3 +                          1;125;Bahçe Katı;2;Kombi (Doğalgaz);Kat Mülkiyeti;1;1;Evet;Boş;Aktaş İnşaat Gayrimenkul;13.02.2026;Ankara / Gölbaşı / Yağlıpınar Mah.;https://www.hepsiemlak.com/ankara-golbasi-yaglipinar-satilik/kooperatif/30810-273
5422-5268;Satılık Daire - Ankara / Çankaya / Şehit Cengiz Karaca Mah.;5250000;Satılık Daire;3 +                          1;125;5. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Emlak Merkezim;14.02.2026;Ankara / Çankaya / Şehit Cengiz Karaca Mah.;https://www.hepsiemlak.com/ankara-cankaya-sehit-cengiz-karaca-satilik/daire/5422-5268
142285-335;Satılık Daire - Ankara / Mamak / Türközü Mah.;7200000;Satılık Daire;4 +                          1;166;3. Kat;3;Kombi (Doğalgaz);Kat Mülkiyeti;1;13;Evet;Boş;Turan Emlak;13.02.2026;Ankara / Mamak / Türközü Mah.;https://www.hepsiemlak.com/ankara-mamak-turkozu-satilik/daire/142285-335
140913-1175;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;10500000;Satılık Daire;4 +                          1;220;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Güneş Emlak Ovacık;10.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/140913-1175
99289-2704;Satılık Daire - Ankara / Sincan / Pınarbaşı Mah.;5495000;Satılık Daire;5 +                          1;295;3. Kat;19;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;12.02.2026;Ankara / Sincan / Pınarbaşı Mah.;https://www.hepsiemlak.com/ankara-sincan-pinarbasi-satilik/daire/99289-2704
115748-1187;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;4865000;Satılık Daire;3 +                          1;135;1. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;13.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/115748-1187
154819-157;Satılık Daire - Ankara / Sincan / Mustafa Kemal Mah.;4299000;Satılık Daire;2 +                          1;125;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cansu Gayrimenkul;14.02.2026;Ankara / Sincan / Mustafa Kemal Mah.;https://www.hepsiemlak.com/ankara-sincan-mustafa-kemal-satilik/daire/154819-157
85008-318;Satılık Daire - Ankara / Çankaya / Harbiye Mah.;5970000;Satılık Daire;3 +                          1;115;3. Kat;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Emlak Yıldızı Ankara;14.02.2026;Ankara / Çankaya / Harbiye Mah.;https://www.hepsiemlak.com/ankara-cankaya-harbiye-satilik/daire/85008-318
156240-482;Satılık Daire - Ankara / Mamak / Yeşilbayır Mah.;2850000;Satılık Daire;3 +                          1;130;2. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Avantaj Emlak Gayrimenkul;16.02.2026;Ankara / Mamak / Yeşilbayır Mah.;https://www.hepsiemlak.com/ankara-mamak-yesilbayir-satilik/daire/156240-482
92223-2943;Satılık Daire - Ankara / Mamak / Akşemsettin Mah.;3097000;Satılık Daire;1 +                          1;60;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;-;10.02.2026;Ankara / Mamak / Akşemsettin Mah.;https://www.hepsiemlak.com/ankara-mamak-aksemsettin-satilik/daire/92223-2943
132472-1780;Satılık Daire - Ankara / Gölbaşı / İncek Mah.;6450000;Satılık Daire;2 +                          1;95;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Ankalife Gayrimenkul;13.02.2026;Ankara / Gölbaşı / İncek Mah.;https://www.hepsiemlak.com/ankara-golbasi-incek-satilik/daire/132472-1780
102527-42;Satılık Daire - Ankara / Sincan / Mustafa Kemal Mah.;3450000;Satılık Daire;3 +                          1;110;Yüksek Giriş;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Beyler Gayrimenkul Yenikent;12.02.2026;Ankara / Sincan / Mustafa Kemal Mah.;https://www.hepsiemlak.com/ankara-sincan-mustafa-kemal-satilik/daire/102527-42
1955-8096;Satılık Daire - Ankara / Keçiören / İncirli Mah.;2590000;Satılık Daire;2 +                          1;90;Kot 1;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Uzman Emlak;12.02.2026;Ankara / Keçiören / İncirli Mah.;https://www.hepsiemlak.com/ankara-kecioren-incirli-satilik/daire/1955-8096
76287-2585;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;18000000;Satılık Daire;4 +                          1;220;4. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Arkadaş Gayrimenkul;11.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/76287-2585
10557-4069;Satılık Daire - Ankara / Çankaya / Karapınar Mah.;8550000;Satılık Daire;4 +                          1;160;2. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;E-maks Grup Gayrimenkul;14.02.2026;Ankara / Çankaya / Karapınar Mah.;https://www.hepsiemlak.com/ankara-cankaya-karapinar-satilik/daire/10557-4069
