ilan_no;kategori;fiyat;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;ilce;mahalle;url
1170-7416;Kiralık;45000;1 +                              1;50;Giriş Katı;2;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Ader Gayrimenkul;2026/05/11;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/1170-7416
36851-34633;Kiralık;50000;3 +                              1;135;2. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Levent Emlak;2026/05/08;Çankaya;Yukarı Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/36851-34633
36851-34632;Kiralık;39000;1 +                              1;60;4. Kat;9;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Levent Emlak;2026/05/08;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/36851-34632
4180-9747;Kiralık;34000;3 +                              1;145;Kot 1;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Milenyum Emlak Dikmen;2026/05/08;Çankaya;Ata Mah.;https://www.hepsiemlak.com/ankara-cankaya-ata-kiralik/daire/4180-9747
139231-156;Kiralık;1754000000;3 +                              1;120;Kot 3;12;Kombi (Doğalgaz);Kat Mülkiyeti;1;7 Katlı;Evet;Boş;-;2026/05/07;Mamak;Ekin Mah.;https://www.hepsiemlak.com/ankara-mamak-ekin-kiralik/daire/139231-156
159369-40;Kiralık;28250;3 +                              1;110;3. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/05;Altındağ;Güneşevler Mah.;https://www.hepsiemlak.com/ankara-altindag-gunesevler-kiralik/daire/159369-40
155633-63;Kiralık;26000;2 +                              1;110;6. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;10 Katlı;Evet;Boş;-;2026/05/08;Sincan;Fevzi Çakmak Mah.;https://www.hepsiemlak.com/ankara-sincan-fevzi-cakmak-kiralik/daire/155633-63
33181-3006;Kiralık;33000;4 +                              1;140;Yarı Bodrum;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;-;2026/05/05;Çankaya;Aşıkpaşa Mah.;https://www.hepsiemlak.com/ankara-cankaya-asikpasa-kiralik/daire/33181-3006
167064-1;Kiralık;27500;1 +                              1;50;7. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;17 Katlı;Evet;Boş;Coldwell Banker Win;2026/05/11;Çankaya;Alacaatlı Mah.;https://www.hepsiemlak.com/ankara-cankaya-alacaatli-kiralik/daire/167064-1
115697-793;Kiralık;62000;2 +                              1;80;1. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Onur Emlak;2026/05/06;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/115697-793
115697-794;Kiralık;72000;3 +                              1;145;1. Kat;8;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Onur Emlak;2026/05/05;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/115697-794
115697-501;Kiralık;37000;3 +                              1;165;9. Kat;13;Kombi (Doğalgaz);Kat Mülkiyeti;1;11 Katlı;Evet;Boş;Onur Emlak;2026/05/06;Yenimahalle;Güventepe Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-guventepe-kiralik/daire/115697-501
